Name,Symbol,Price,1h %,24h %,7d %,Market Cap,Volume (24h)
Bitcoin,BTC," 68,695.92",0.62%,0.60%,9.87%,1358144006267,"14,603,853,098212,476"
Ethereum,ETH," 2,713.87",2.33%,2.56%,10.57%,326720921028,"10,009,131,1233,682,677"
Tether,USDT, 1.00,0.01%,0.02%,0.03%,120175458577,"36,406,701,50336,414,985,018"
BNB,BNB, 600.23,0.64%,0.41%,5.15%,87428060505,"1,483,723,2502,471,908"
Solana,SOL, 159.53,1.06%,2.55%,8.61%,74966106422,"1,852,743,40311,613,873"
USDC,USDC, 0.9999,0.02%,0.01%,0.03%,34970744536,"2,501,286,7822,501,574,058"
XRP,XRP, 0.5437,0.88%,0.29%,2.24%,30832326056,"612,156,1571,125,870,101"
Dogecoin,DOGE, 0.1392,0.71%,4.27%,24.98%,20382400633,"1,527,828,93610,977,350,297"
TRON,TRX, 0.1567,0.21%,0.55%,4.09%,13553606526,"217,242,3821,386,729,638"
Toncoin,TON, 5.29,0.66%,0.76%,0.29%,13435926118,"101,912,44619,261,610"
Cardano,ADA, 0.3586,1.26%,1.80%,2.08%,12542028572,"170,024,656474,124,617"
Avalanche,AVAX, 28.35,1.09%,1.05%,1.55%,11535123929,"127,495,4194,497,054"
Shiba Inu,SHIB, 0.00001874,1.17%,2.52%,6.92%,11043937184,"280,231,88714,952,224,952,672"
Chainlink,LINK, 11.81,0.92%,3.61%,8.84%,7403057382,"155,289,66713,149,071"
GateToken,GT, 9.01,0.11%,0.65%,1.16%,820353817,"3,555,142393,916"
Quant,QNT, 66.65,1.36%,2.00%,1.56%,804690580,"9,292,272139,733"
ormholeW,W, 0.2966,2.08%,3.21%,3.74%,798381257,"68,848,992232,114,237"
Axie Infinity,AXS, 5.21,1.07%,0.92%,12.16%,793507993,"79,046,63615,183,603"
First Neiro On Ethereum,NEIRO, 0.001895,2.57%,3.46%,7.23%,797252857,"261,479,604138,891,101,433"
ORDI,ORDI, 37.72,1.77%,2.49%,8.09%,792196513,"70,383,0111,874,204"
dYdX (Native),DYDX, 1.21,2.06%,25.64%,31.92%,778649241,"169,662,252140,308,239"
Pendle,PENDLE, 4.77,1.85%,0.63%,20.10%,767229803,"94,252,23619,701,149"
cat in a dogs world,MEW, 0.008704,2.56%,2.03%,28.43%,773733174,"73,315,1138,521,354,107"
EOS,EOS, 0.5029,0.75%,3.24%,7.14%,765501019,"53,311,408106,097,206"
Neo,NEO, 10.81,0.42%,2.06%,4.64%,762818765,"25,430,8542,354,007"
USDD,USDD, 0.999,0.04%,0.12%,0.12%,756742099,"1,821,5881,822,238"
MultiversX,EGLD, 27.57,0.50%,3.43%,4.04%,757380062,"10,141,280368,047"
Flare,FLR, 0.01496,0.79%,1.28%,3.34%,753669466,"2,821,860188,610,071"
Conflux,CFX, 0.1645,0.72%,2.32%,2.53%,745473392,"27,246,636165,556,750"
Mina,MINA, 0.6083,0.36%,5.80%,8.36%,712717221,"36,042,15459,158,884"
GateToken,GT,9.01,0.11%,0.65%,1.16%,820353817,"3,555,142393,916"
Quant,QNT,66.65,1.36%,2.00%,1.56%,804690580,"9,292,272139,733"
ormholeW,W,0.2966,2.08%,3.21%,3.74%,798381257,"68,848,992232,114,237"
Axie Infinity,AXS,5.21,1.07%,0.92%,12.16%,793507993,"79,046,63615,183,603"
First Neiro On Ethereum,NEIRO,0.001895,2.57%,3.46%,7.23%,797252857,"261,479,604138,891,101,433"
ORDI,ORDI,37.72,1.77%,2.49%,8.09%,792196513,"70,383,0111,874,204"
dYdX (Native),DYDX,1.21,2.06%,25.64%,31.92%,778649241,"169,662,252140,308,239"
Pendle,PENDLE,4.77,1.85%,0.63%,20.10%,767229803,"94,252,23619,701,149"
cat in a dogs world,MEW,0.008704,2.56%,2.03%,28.43%,773733174,"73,315,1138,521,354,107"
EOS,EOS,0.5029,0.75%,3.24%,7.14%,765501019,"53,311,408106,097,206"
Neo,NEO,10.81,0.42%,2.06%,4.64%,762818765,"25,430,8542,354,007"
USDD,USDD,0.999,0.04%,0.12%,0.12%,756742099,"1,821,5881,822,238"
MultiversX,EGLD,27.57,0.50%,3.43%,4.04%,757380062,"10,141,280368,047"
Flare,FLR,0.01496,0.79%,1.28%,3.34%,753669466,"2,821,860188,610,071"
Conflux,CFX,0.1645,0.72%,2.32%,2.53%,745485376,"27,246,636165,556,750"
Mina,MINA,0.6083,0.43%,5.80%,8.36%,712717221,"36,042,15459,158,884"
GateToken,GT,9.01,0.11%,0.65%,1.16%,820353817,"3,555,142393,916"
Quant,QNT,66.65,1.36%,2.00%,1.56%,804690580,"9,292,272139,733"
ormholeW,W,0.2966,2.08%,3.21%,3.74%,798381257,"68,848,992232,114,237"
Axie Infinity,AXS,5.21,1.07%,0.92%,12.16%,793507993,"79,046,63615,183,603"
First Neiro On Ethereum,NEIRO,0.001895,2.57%,3.46%,7.23%,797252857,"261,479,604138,891,101,433"
ORDI,ORDI,37.72,1.77%,2.49%,8.09%,792196513,"70,383,0111,874,204"
dYdX (Native),DYDX,1.21,2.06%,25.64%,31.92%,778649241,"169,662,252140,308,239"
Pendle,PENDLE,4.77,1.85%,0.63%,20.10%,767229803,"94,252,23619,701,149"
cat in a dogs world,MEW,0.008704,2.56%,2.03%,28.43%,773733174,"73,315,1138,521,354,107"
EOS,EOS,0.5029,0.75%,3.24%,7.14%,765501019,"53,311,408106,097,206"
Neo,NEO,10.81,0.42%,2.06%,4.64%,762818765,"25,430,8542,354,007"
USDD,USDD,0.999,0.04%,0.12%,0.12%,756742099,"1,821,5881,822,238"
MultiversX,EGLD,27.57,0.50%,3.43%,4.04%,757380062,"10,141,280368,047"
Flare,FLR,0.01496,0.79%,1.28%,3.34%,753669466,"2,821,860188,610,071"
Conflux,CFX,0.1645,0.72%,2.32%,2.53%,745485376,"27,246,636165,556,750"
Mina,MINA,0.6083,0.43%,5.80%,8.36%,712717221,"36,042,15459,158,884"
GateToken,GT,9.01,0.11%,0.65%,1.16%,820353817,"3,555,142393,916"
Quant,QNT,66.65,1.36%,2.00%,1.56%,804690580,"9,292,272139,733"
ormholeW,W,0.2966,2.08%,3.21%,3.74%,798381257,"68,848,992232,114,237"
Axie Infinity,AXS,5.21,1.07%,0.92%,12.16%,793507993,"79,046,63615,183,603"
First Neiro On Ethereum,NEIRO,0.001895,2.57%,3.46%,7.23%,797252857,"261,479,604138,891,101,433"
ORDI,ORDI,37.72,1.77%,2.49%,8.09%,792196513,"70,383,0111,874,204"
dYdX (Native),DYDX,1.21,2.06%,25.64%,31.92%,778649241,"169,662,252140,308,239"
Pendle,PENDLE,4.77,1.85%,0.63%,20.10%,767229803,"94,252,23619,701,149"
cat in a dogs world,MEW,0.008704,2.56%,2.03%,28.43%,773733174,"73,315,1138,521,354,107"
